Station_ID,Station_Location,Date,pH,Dissolved_Oxygen,Turbidity,Nitrogen,Phosphorus,Rainfall,Land_Use,Pollution_Event,Fish_Population
1,"50.7959,47.7005",2025-01-01,7.3,9.4,9.7,2.5,0.66,9.6,Urban,1,59
2,"42.2562,112.3186",2025-01-02,6.5,8.5,8.2,5.4,0.28,7.5,Forest,1,162
3,"65.1943,3.7017",2025-01-03,7.2,6.6,12.4,2.2,0.54,28.0,Agricultural,1,78
4,"38.9249,-150.5911",2025-01-04,7.7,7.4,11.5,3.1,1.32,5.8,Forest,0,157
5,"69.3857,34.3640",2025-01-05,7.9,9.2,10.5,4.8,0.86,17.3,Agricultural,0,111
6,"-52.1095,87.4268",2025-01-06,8.3,9.9,8.7,2.6,1.19,5.3,Urban,1,161
7,"0.3424,31.4667",2025-01-07,6.6,8.9,10.1,2.9,1.4,25.5,Agricultural,1,101
8,"18.0854,43.9706",2025-01-08,8.4,7.6,10.0,3.6,0.14,21.9,Agricultural,1,188
9,"77.4620,-101.5293",2025-01-09,7.3,8.0,4.1,2.7,0.13,13.1,Forest,1,59
10,"-48.7546,-2.0650",2025-01-10,8.2,7.7,8.8,1.9,0.11,16.5,Agricultural,1,137
11,"-73.8455,-8.2280",2025-01-11,6.7,5.7,10.1,2.8,0.64,28.1,Agricultural,0,163
12,"-78.4388,-49.6123",2025-01-12,6.9,8.0,5.0,1.7,1.19,24.2,Agricultural,1,171
13,"73.4843,-97.7602",2025-01-13,7.2,6.7,9.7,3.9,1.42,2.4,Agricultural,1,80
14,"37.2339,-50.9947",2025-01-14,7.3,6.3,5.0,2.7,0.53,2.9,Forest,0,94
15,"65.2726,-3.8191",2025-01-15,7.7,5.4,9.3,5.2,0.71,2.4,Agricultural,1,52
16,"87.2085,111.0403",2025-01-16,7.8,7.4,10.0,4.3,1.43,29.4,Urban,1,171
17,"86.5778,-89.9109",2025-01-17,6.9,6.3,12.3,5.7,1.45,10.3,Agricultural,1,104
18,"40.5404,-115.5968",2025-01-18,7.8,8.6,13.2,1.2,0.53,11.0,Urban,1,73
19,"14.9716,139.9363",2025-01-19,7.6,5.3,10.9,1.1,1.4,27.3,Agricultural,0,58
20,"0.1758,-153.7380",2025-01-20,8.3,9.7,12.1,4.4,0.14,19.7,Urban,1,129
21,"24.1891,56.4985",2025-01-21,8.1,10.0,4.0,4.5,0.33,11.2,Forest,0,63
22,"-58.1838,-19.7431",2025-01-22,7.7,5.8,4.3,4.7,1.42,14.4,Urban,0,109
23,"63.5218,-132.8784",2025-01-23,7.0,5.2,10.0,5.5,0.42,6.9,Agricultural,1,132
24,"-40.5212,114.3695",2025-01-24,8.3,7.8,14.3,4.5,0.9,10.6,Urban,0,84
25,"-27.3002,48.6827",2025-01-25,7.6,7.6,6.3,4.2,1.03,18.7,Urban,1,176
26,"62.4075,42.6886",2025-01-26,7.2,6.9,14.6,4.3,0.84,15.7,Agricultural,0,100
27,"-54.3343,118.7689",2025-01-27,7.1,9.5,12.6,2.7,0.54,14.8,Agricultural,1,144
28,"-49.3561,36.6735",2025-01-28,8.3,7.1,4.8,5.0,0.86,4.8,Forest,0,64
29,"-38.4030,-123.3076",2025-01-29,7.6,9.1,7.8,1.1,0.63,2.6,Urban,1,62
30,"25.5891,-0.3249",2025-01-30,7.0,7.4,8.6,3.6,0.85,19.9,Forest,1,134
31,"46.0222,-151.6354",2025-01-31,8.1,9.8,10.0,1.4,0.36,21.8,Forest,1,172
32,"-14.4891,-51.5146",2025-02-01,8.4,9.1,7.8,3.0,0.16,5.2,Forest,0,87
33,"81.6791,37.3674",2025-02-02,8.3,8.2,3.3,1.2,0.94,13.6,,0,180
34,"-17.8443,47.1553",2025-02-03,7.9,6.1,6.7,1.5,0.66,6.1,Agricultural,0,193
35,"4.9861,-14.9263",2025-02-04,6.8,9.4,10.4,2.8,0.63,12.8,Agricultural,0,179
36,"-43.7625,-111.0211",2025-02-05,8.4,9.0,10.2,4.7,0.16,0.4,Forest,1,189
37,"47.9500,-147.8089",2025-02-06,7.0,7.5,3.3,5.9,0.37,14.5,Forest,1,172
38,"-82.0956,71.9400",2025-02-07,7.1,7.9,11.4,2.6,1.13,11.8,Forest,0,1750
39,"-9.6642,74.0200",2025-02-08,7.1,8.2,6.5,2.8,1.05,26.8,Forest,0,158
40,"86.7502,159.5214",2025-02-09,7.0,9.8,12.2,5.2,0.56,29.8,Agricultural,0,51
41,"7.7776,19.1052",2025-02-10,6.9,6.4,11.7,1.7,0.61,29.6,Urban,0,126
42,"60.0305,-76.2925",2025-02-11,7.6,8.3,5.5,5.8,0.48,2.0,Forest,0,146
43,"7.3162,-145.0009",2025-02-12,8.4,6.4,4.8,4.7,0.38,19.3,Agricultural,1,106
44,"10.2469,151.2481",2025-02-13,,9.1,6.9,4.7,0.99,1.7,Agricultural,1,75
45,"18.8056,113.7475",2025-02-14,7.2,6.4,6.3,4.2,0.16,24.5,Agricultural,0,106
46,"80.6043,-3.2422",2025-02-15,6.9,9.0,14.2,3.4,0.83,3.4,Agricultural,0,115
47,"31.6025,177.9768",2025-02-16,6.6,8.0,9.7,3.1,0.53,29.8,Forest,1,94
48,"54.3906,-120.8536",2025-02-17,8.3,5.6,5.5,1.5,0.29,6.0,Agricultural,0,62
49,"-28.3122,-140.6769",2025-02-18,7.8,6.3,8.6,2.8,0.53,27.9,Forest,1,62
50,"-11.5393,-76.6553",2025-02-19,7.8,6.2,5.5,5.5,1.13,8.8,Agricultural,0,53
