MovieID,Title,Year,Genres,Language,Country,Total Views
1,Toy Story,1995,Animation|Children's|Comedy,German,Italy,69118
2,Jumanji,1995,Adventure|Children's|Fantasy,Spanish,UK,1661
3,Grumpier Old Men,1995,Comedy|Romance,English,India,22205
4,Waiting To Exhale,1995,Comedy|Drama,Spanish,India,84783
5,Father Of The Bride Part Ii,1995,Comedy,German,India,61291
6,Heat,1995,Action|Crime|Thriller,English,Canada,40658
7,Sabrina,1995,Comedy|Romance,German,France,63623
8,Tom And Huck,1995,Adventure|Children's,French,India,50355
9,Sudden Death,1995,Action,Spanish,UK,3943
10,Goldeneye,1995,Action|Adventure|Thriller,Spanish,Canada,74950
11,The American President,1995,Comedy|Drama|Romance,French,France,79317
12,Dracula: Dead And Loving It,1995,Comedy|Horror,German,France,59858
13,Balto,1995,Animation|Children's,Italian,UK,39370
14,Nixon,1995,Drama,Spanish,UK,98502
15,Cutthroat Island,1995,Action|Adventure|Romance,Spanish,India,41754
16,Casino,1995,Drama|Thriller,German,France,4961
17,Sense And Sensibility,1995,Drama|Romance,Italian,France,91178
18,Four Rooms,1995,Thriller,German,Canada,15056
19,Ace Ventura: When Nature Calls,1995,Comedy,Spanish,USA,58261
20,Money Train,1995,Action,German,UK,13604
21,Get Shorty,1995,Action|Comedy|Drama,German,India,90108
22,Copycat,1995,Crime|Drama|Thriller,Italian,France,37070
23,Assassins,1995,Thriller,English,Italy,25385
24,Powder,1995,Drama|Sci-Fi,French,USA,11556
25,Leaving Las Vegas,1995,Drama|Romance,French,Italy,3607
26,Othello,1995,Drama,Italian,Italy,33580
27,Now And Then,1995,Drama,Spanish,India,95762
28,Persuasion,1995,Romance,English,Canada,66047
29,The City Of Lost Children,1995,Adventure|Sci-Fi,Italian,India,20596
30,Shanghai Triad (Yao A Yao Yao Dao Waipo Qiao),1995,Drama,English,France,10068
31,Dangerous Minds,1995,Drama,Spanish,Italy,8564
32,Twelve Monkeys,1995,Drama|Sci-Fi,Italian,France,1838
33,Wings Of Courage,1995,Adventure|Romance,English,Italy,94496
34,Babe,1995,Children's|Comedy|Drama,Italian,Canada,62835
35,Carrington,1995,Drama|Romance,Italian,Italy,85634
