RatingID,UserID,MovieID,Rating,Timestamp
1,SF_2741,3713,4.1,01-02-24
2,SF_3082,2052,3.1,24-02-24
3,SF_53,3267,4,12-11-24
4,SF_182,2517,2.4,28-09-24
5,SF_631,2996,3.1,04-10-24
6,SF_2261,1184,3.9,28-05-24
7,SF_1291,2425,2.8,24-12-23
8,SF_5002,3326,4.5,05-03-24
9,SF_693,1375,1.9,05-12-24
10,SF_3684,1987,3.2,16-07-24
11,SF_1503,127,4.6,22-01-24
12,SF_1907,1138,1.2,04-02-24
13,SF_3649,734,4.6,26-11-24
14,SF_4824,309,2.4,24-02-24
15,SF_2147,2493,2.7,21-09-24
16,SF_2215,2912,2,23-04-24
17,SF_6005,2983,2.8,11-04-24
18,SF_601,2720,2.7,11-07-24
19,SF_841,2955,4.1,25-08-24
20,SF_1504,2351,2.7,03-12-24
21,SF_3288,2853,4.8,06-02-24
22,SF_1839,1509,2,28-06-24
23,SF_5276,1938,3,12-10-24
24,SF_5097,3635,4,16-04-24
25,SF_363,22,2.4,07-08-24
26,SF_2617,1029,3.7,28-02-24
27,SF_2919,1493,2.8,10-06-24
28,SF_2814,3611,4.5,15-06-24
29,SF_6003,1516,1.4,06-02-24
30,SF_1217,2344,1.8,23-04-24
31,SF_3810,1811,1.9,22-10-24
32,SF_824,1103,2.7,13-03-24
33,SF_3607,3444,4.1,20-03-24
34,SF_2407,3915,1.4,20-12-23
35,SF_4940,3056,1.6,29-01-24
36,SF_4687,621,3.5,09-02-24
37,SF_5658,1830,3.9,18-12-23
38,SF_1057,2495,3.7,11-02-24
39,SF_3111,2700,5,30-11-24
40,SF_4739,1279,4.8,19-11-24
41,SF_3584,549,4.5,18-02-24
42,SF_2134,2970,1.8,13-04-24
43,SF_2947,705,3,16-01-24
44,SF_1438,2216,1.8,03-06-24
45,SF_908,3810,2.1,21-01-24
46,SF_2324,1921,1.9,02-09-24
47,SF_3982,2169,4.4,13-05-24
48,SF_3232,1300,3.7,26-08-24
49,SF_4139,3420,2.7,24-01-24
50,SF_433,1939,3.9,25-09-24
51,SF_1415,3626,4.1,26-10-24
52,SF_4205,3446,1.4,25-03-24
53,SF_3989,2322,4.3,27-06-24
54,SF_43,255,3.1,18-04-24
55,SF_4775,1598,2.1,24-03-24
56,SF_5658,311,3.6,16-12-23
57,SF_4546,1665,2.9,17-03-24
58,SF_3318,1825,4.9,22-06-24
59,SF_5596,277,4.4,21-01-24
60,SF_28,3540,3.3,27-04-24
61,SF_5775,3895,1.5,10-03-24
62,SF_2588,957,2.6,10-01-24
63,SF_1122,2317,4.8,15-04-24
64,SF_5355,872,3.1,29-08-24
